CUSTID,DATE_Min,DATE_Max,小計_Sum,Record_Count,Recency Score,Frequency Score,Monetary Score,RFM Score,期間,大分類_アクセサリ_小計_Sum,大分類_インナーウエア_小計_Sum,大分類_バッグ_小計_Sum,大分類_化粧品_小計_Sum,大分類_婦人服_小計_Sum,大分類_靴_小計_Sum,大分類_食品_小計_Sum,中分類_アクセサリ02,中分類_アクセサリ03,中分類_アクセサリ04,中分類_アクセサリ05,中分類_インナーウエア01,中分類_インナーウエア02,中分類_インナーウエア03,中分類_インナーウエア04,中分類_インナーウエア05,中分類_インナーウエア06,中分類_インナーウエア07,中分類_インナーウエア08,中分類_インナーウエア09,中分類_バッグ,中分類_バッグ01,中分類_バッグ02,中分類_バッグ03,中分類_バッグ04,中分類_バッグ05,中分類_バッグ06,中分類_バッグ07,中分類_バッグ08,中分類_バッグ09,中分類_バッグ10,中分類_化粧品01,中分類_化粧品02,中分類_化粧品03,中分類_化粧品04,中分類_化粧品05,中分類_化粧品06,中分類_化粧品07,中分類_化粧品08,中分類_化粧品09,中分類_化粧品10,中分類_婦人服01,中分類_婦人服02,中分類_婦人服03,中分類_婦人服04,中分類_婦人服05,中分類_婦人服06,中分類_婦人服07,中分類_婦人服08,中分類_婦人服09,中分類_靴01,中分類_靴02,中分類_靴03,中分類_靴04,中分類_靴05,中分類_靴06,中分類_食品01,中分類_食品02,中分類_食品03,中分類_食品04,中分類_食品05,中分類_食品06,中分類_食品07,中分類_食品08,中分類_食品09,中分類_食品10,中分類_食品11,中分類_食品12
100001,2015-02-26,2015-12-30,98724,30,5,4,3,543.00,307,8278,7715,7243,26885,6026,26870,15707,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
100004,2015-01-16,2015-12-11,170076,36,3,4,4,344.00,329,0,47262,10342,35251,19631,45890,11700,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100005,2015-01-26,2015-10-15,118960,12,1,2,3,123.00,262,10500,0,0,0,0,0,108460,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100006,2015-01-07,2015-11-20,85070,12,2,2,3,223.00,317,0,26210,14400,33000,11460,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100008,2015-01-06,2015-12-28,54280,19,4,3,2,432.00,356,1017,21755,2800,13441,2950,11123,1194,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100012,2015-01-01,2015-12-28,299015,83,4,5,5,455.00,361,30638,48548,60782,37073,47206,8524,66244,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100016,2015-03-09,2015-12-22,102430,5,4,1,3,413.00,288,0,0,0,88430,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100017,2015-08-19,2015-12-11,24630,7,3,1,1,311.00,114,0,0,6451,1298,0,1726,15155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
100019,2015-05-24,2015-12-28,61822,13,4,2,2,422.00,218,2375,2586,0,50724,4427,1710,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100020,2015-02-04,2015-12-27,35462,13,4,2,1,421.00,326,0,4560,15281,15621,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100021,2015-02-02,2015-08-23,37700,16,1,2,1,121.00,202,0,10895,3020,2907,15351,1107,4420,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100022,2015-01-04,2015-12-22,285043,16,4,2,5,425.00,352,0,63930,0,209743,8550,2820,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100023,2015-02-02,2015-10-09,42327,5,1,1,1,111.00,249,0,9008,13600,10080,0,9639,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100026,2015-01-13,2015-12-13,74742,16,3,2,2,322.00,334,0,0,5200,6380,0,63162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100027,2015-01-20,2015-11-10,50239,17,2,2,2,222.00,294,0,5910,9245,9400,13100,0,12584,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100028,2015-01-25,2015-06-13,18135,5,1,1,1,111.00,139,0,0,8644,0,0,9491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100029,2015-02-27,2015-09-01,67955,10,1,1,2,112.00,186,0,11216,9880,9820,0,30260,6779,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100030,2015-02-16,2015-12-31,64382,24,5,3,2,532.00,318,0,1430,2000,13006,28706,15760,3480,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100036,2015-01-14,2015-12-23,36988,10,4,1,1,411.00,343,23308,0,0,0,0,13680,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100037,2015-01-28,2015-12-24,102602,31,4,4,3,443.00,330,5523,21200,6230,4676,12140,35833,17000,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100038,2015-02-05,2015-12-30,369754,31,5,4,5,545.00,328,20000,13656,5714,76467,224795,11480,17642,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100039,2015-02-12,2015-12-16,35020,6,3,1,1,311.00,307,26790,0,0,0,1980,6250,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100040,2015-01-02,2015-12-23,341221,50,4,5,5,455.00,355,89267,125158,0,60793,30915,17498,17590,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100042,2015-01-12,2015-12-08,200387,30,3,4,4,344.00,330,3232,20043,6754,48061,115192,2480,4625,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100043,2015-01-14,2015-12-29,50725,7,5,1,2,512.00,349,0,3588,0,6600,38000,2537,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100045,2015-01-05,2015-12-17,271893,43,3,4,5,345.00,346,21360,19419,50912,46233,33873,62260,37836,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100046,2015-01-28,2015-12-28,72908,23,4,3,2,432.00,334,40998,9800,6230,4340,8310,1530,1700,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100048,2015-01-06,2015-12-31,379709,30,5,4,5,545.00,359,1260,11144,6793,16505,271135,64172,8700,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100049,2015-03-07,2015-10-17,142115,24,1,3,4,134.00,224,40082,3534,0,36423,1292,19598,41186,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
100051,2015-01-06,2015-11-02,64250,15,1,2,2,122.00,300,1960,20540,1800,22600,0,17350,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100054,2015-01-06,2015-12-16,431629,82,3,5,5,355.00,344,136000,123780,91260,16154,47195,1440,15800,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
