$T-TwoStep,大分類,rank_1_PRODUCTID_Min,rank_2_PRODUCTID_Min,rank_3_PRODUCTID_Min,rank_4_PRODUCTID_Min,rank_5_PRODUCTID_Min
"クラスター-1","アクセサリ",9900655,9901665,9901370,9900654,9900770
"クラスター-1","インナーウエア",9900294,9900416,9900200,9900295,9900303
"クラスター-1","バッグ",9900376,9900307,9901224,9900741,9900013
"クラスター-1","化粧品",9901010,9900227,9900607,9900217,9902991
"クラスター-1","靴",9901062,9900236,9900409,9900451,9900450
"クラスター-1","食品",9900318,9900742,9900388,9900230,9915013
"クラスター-1","婦人服",9900171,9900208,9900172,9900198,9901230
"クラスター-2","アクセサリ",9900655,9904289,9900770,9900842,9901370
"クラスター-2","インナーウエア",9900416,9900200,9900248,9900353,9900434
"クラスター-2","バッグ",9900307,9900376,9901224,9900013,9900503
"クラスター-2","化粧品",9900217,9900607,9900220,9901010,9902991
"クラスター-2","靴",9901062,9900700,9905426,9900580,9900089
"クラスター-2","食品",9900742,9931350,9900318,9900388,9904995
"クラスター-2","婦人服",9900172,9900171,9900208,9900198,9902838
"クラスター-3","アクセサリ",9900655,9900770,9901370,9906275,9900842
"クラスター-3","インナーウエア",9900416,9900434,9900484,9900250,9900295
"クラスター-3","バッグ",9900307,9900013,9901224,9903520,9900376
"クラスター-3","化粧品",9900217,9901147,9900189,9901010,9900607
"クラスター-3","靴",9906008,9901062,9900236,9903304,9900700
"クラスター-3","食品",9900230,9900318,9902374,9909590,9900388
"クラスター-3","婦人服",9900171,9900172,9900208,9900198,9902549
"クラスター-4","アクセサリ",9900655,9904289,9900842,9905280,9904157
"クラスター-4","インナーウエア",9900299,9900416,9910322,9900201,9900726
"クラスター-4","バッグ",9900376,9901224,9900307,9902272,9900013
"クラスター-4","化粧品",9900217,9900189,9902991,9900706,9901010
"クラスター-4","靴",9900450,9906347,9902791,9900830,9904119
"クラスター-4","食品",9900742,9917353,9926989,9900388,9903294
"クラスター-4","婦人服",9900172,9900208,9900171,9900198,9901230
"クラスター-5","アクセサリ",9904289,9901665,9900655,9900842,9902738
"クラスター-5","インナーウエア",9900434,9900416,9900294,9901537,9901250
"クラスター-5","バッグ",9900376,9900741,9903594,9900307,9940736
"クラスター-5","化粧品",9900607,9900449,9900217,9900430,9900189
"クラスター-5","靴",9901062,9900243,9900236,9900232,9909558
"クラスター-5","食品",9900318,9900742,9902374,9900388,9912706
"クラスター-5","婦人服",9900172,9900171,9902228,9900208,9901230
"クラスター-6","アクセサリ",9901370,9900655,9900770,9900842,9900529
"クラスター-6","インナーウエア",9900416,9900248,9900294,9900295,9901216
"クラスター-6","バッグ",9900376,9900307,9900013,9901224,9908433
"クラスター-6","化粧品",9900217,9901010,9900607,9900227,9901424
"クラスター-6","靴",9901062,9908713,9908658,9905761,9903193
"クラスター-6","食品",9905179,9900742,9911943,9900318,9900174
"クラスター-6","婦人服",9900171,9900208,9900172,9900739,9900198
"クラスター-7","アクセサリ",9900655,9904289,9900842,9900770,9906319
"クラスター-7","インナーウエア",9900434,9900416,9900299,9900295,9900248
"クラスター-7","バッグ",9900376,9900307,9901224,9906618,9900013
"クラスター-7","化粧品",9900217,9900607,9901010,9900189,9900227
"クラスター-7","靴",9900236,9901062,9906397,9900332,9905761
"クラスター-7","食品",9900742,9900318,9902374,9900219,9929271
"クラスター-7","婦人服",9900171,9900208,9900172,9901831,9900198
"クラスター-8","アクセサリ",9900655,9941974,9902413,9917724,9916517
"クラスター-8","インナーウエア",9900416,9900294,9901827,9901537,9901155
"クラスター-8","バッグ",9900376,9901224,9920959,9900013,9902276
"クラスター-8","化粧品",9900217,9903906,9916271,9900449,9900607
"クラスター-8","靴",9900871,9900905,9900700,9901062,9900089
"クラスター-8","食品",9900318,9900742,9929986,9901779,9901768
"クラスター-8","婦人服",9900171,9900172,9900208,9900825,9901228
